sample	Signature_1	Signature_2	Signature_3	Signature_5	Signature_6	Signature_8	Signature_13	Signature_17	Signature_18	Signature_20	Signature_26	Signature_30	unassigned
2020_073T	329.0978888021225	937.3305055736173	0	0	0	367.31238093620755	1927.0366770950602	0	0	0	0	0	991.2225475929927
2020_074T1	329.0321151444091	69.47263489967244	187.5928413002094	0	0	0	85.10597915234811	0	0	0	0	0	252.79642950336097
2020_075T	434.0310049569823	0	3318.7010662338216	0	0	526.4737943165469	0	0	0	0	353.84926298894277	0	210.94487150370605
2020_076T	495.29197720575473	0	800.2153098591584	0	0	0	0	0	0	0	296.208255930977	0	604.2844570041098
2020_077T	1121.348139571685	0	283.042221170212	0	0	394.3704148390626	0	0	0	0	213.73915052111641	0	304.50007389792404
2020_078T	190.14479431013248	0	194.99134725909732	199.0868210311021	0	0	71.71343757942009	0	0	0	111.5166683945024	0	50.54693142574558
2020_079T	247.08496163124113	0	167.28038108263547	0	0	107.97448660496102	0	0	0	0	0	0	201.6601706811624
2020_080T	156.78707000057727	0	256.5074107225307	187.31583013289662	0	0	0	0	0	0	119.62028753380332	0	95.76940161019206
2020_081T	785.7790766375167	243.65234242182825	418.46746786932647	293.21005432652066	0	0	0	0	0	0	235.47051864580538	0	184.42054009900244
2020_082T	603.4262321449894	0	311.15074521598785	430.43201175901424	0	0	0	0	0	0	0	0	411.9910108800086
2020_083T	344.94998430187366	0	288.87863044836	278.35479166737133	0	0	0	0	0	0	146.02373665031536	0	154.79285693207976
2020_086T	711.6158300491018	0	540.9559033809801	589.1487994694055	0	0	0	0	0	0	252.62267225255442	0	302.6567948479583
2020_087T	0	0	822.3833871283308	0	0	208.81716533493707	0	0	0	0	135.32424442796662	0	343.4752031087655
2020_089T	946.0227274620979	0	946.909677129226	777.3439138172494	0	0	227.9242061268003	0	0	0	0	0	781.7994754646265
2020_090T	338.6191135017479	0	203.1840094783443	310.1001422645487	0	333.06820266061254	0	0	0	0	164.935103056782	0	53.0934290379646
2020_091T	713.2357731902976	0	310.9369231363122	315.64092874379514	0	0	0	0	0	0	163.39854918964323	0	217.7878257399518
2020_093T	0	0	3641.462890067859	0	0	2994.1736231354375	0	0	0	0	656.9150285321566	0	740.4484582645473
2020_094T	113.3490881699936	0	157.17916066637574	0	0	0	0	0	0	0	0	0	269.47175116363064
2020_096T	603.6436496139534	0	550.555379423754	0	0	277.8285542930656	0	0	0	0	321.422405846242	0	182.5500108229851
2020_102T	469.49836565503995	0	982.9063087560618	0	0	459.3947398558404	0	0	0	0	347.67435216855245	0	647.5262335645057
2020_103T	369.8365262477677	0	153.882922074231	0	0	0	0	0	0	0	0	0	209.2805516780013
2020_104T	121.03913651612072	0	180.69522216346	0	0	0	0	0	0	0	93.59269297594881	0	158.67294834447046
2020_105T	0	0	3747.3329445221125	0	0	4426.810323775548	0	0	0	0	0	0	856.8567317023399
2020_106T	374.03379601668735	0	0	409.1398611858384	0	284.2645997891825	0	0	0	0	155.7022676309778	0	137.85947537731386
2020_107T	454.516785787751	0	222.27778325786042	664.7696376606968	0	182.67079817715393	0	0	0	0	0	0	129.76499511653788
2020_108T	109.497203771616	0	0	182.7705743887062	0	103.22801775480778	0	0	0	0	85.38293148816882	0	106.1212725967012
2020_109T	518.9655930354193	0	1025.7719892990003	473.652847480647	0	0	0	0	0	0	728.9609542401562	0	94.64861594477725
2020_110T	421.77169734488825	0	232.74806195820273	0	0	171.68947155165287	0	0	0	0	398.71140741270546	0	189.07936173255075
2020_111T	283.20438661747767	0	189.94657623518387	0	0	0	0	0	0	0	0	0	240.84903714733844
2020_112T	494.1083856787593	0	411.5074416172708	357.79388969195725	0	0	128.0789124982485	0	146.9511855141057	0	0	0	247.56018499965853
2020_113T	552.6131367431524	1825.6173813000867	407.67070949238274	0	0	0	390.618196000449	0	0	0	0	0	360.4805764639291
2020_116T	639.9420953392944	1962.7381441517855	0	0	0	0	3972.43196181245	0	0	0	0	0	806.8877986964699
2020_118T1	580.2189865234624	0	459.6985280754192	668.4725580686442	0	0	0	0	0	0	297.6136864381765	0	48.9962408942979
