sample_id	ascatPurityScore	TMB_nonSyn
FBC071015	0.88	1.8
TCGA-B6-A0IQ	0.58	1.0666
TCGA-AN-A0AT	0.49	4.0333
TCGA-A2-A0D1	0.78	1.2333
TCGA-B6-A0RE	0.56	NA
TCGA-E2-A15E	0.65	1.1666
TCGA-BH-A0DG	0.43	1.0333
TCGA-D8-A27H	0.62	4.1666
TCGA-AO-A03L	0.47	0.7666
TCGA-D8-A27F	0.66	2.2666
TCGA-A8-A09I	0.6	3.7333
TCGA-A2-A3Y0	0.55	4.9666
TCGA-E2-A15K	0.7	2.5
TCGA-BH-A0B3	0.48	0.9666
TCGA-AR-A2LK	0.77	1.3
TCGA-E2-A1LK	0.73	1.3333
TCGA-BH-A0EA	0.53	0.8
TCGA-BH-A0E0	0.57	0.8333
TCGA-A8-A08S	0.86	1.3666
TCGA-A8-A09X	0.38	1.6333
TCGA-E2-A1LL	0.45	1.7666
TCGA-B6-A0IJ	0.43	3.8333
TCGA-A2-A3KC	0.34	1.0666
TCGA-A2-A0D0	0.65	1.7666
TCGA-B6-A0I2	0.45	1.6
TCGA-EW-A1P8	0.68	1.0333
TCGA-A8-A092	0.73	2.6666
TCGA-A2-A259	0.29	0.9
TCGA-C8-A12L	0.49	2.6666
TCGA-AO-A0JM	0.57	1.4
TCGA-AN-A04D	0.92	3.1333
TCGA-B6-A0RT	1	NA
TCGA-EW-A1PH	0.76	1.5666
TCGA-B6-A0X5	0.89	1.5
TCGA-A2-A3XX	0.55	1.1
TCGA-E2-A15H	0.68	0.9
TCGA-A8-A07I	0.71	1.7666
TCGA-BH-A0B9	0.58	1.0333
TCGA-BH-A0BW	0.56	3.1
TCGA-EW-A1J5	0.46	13.9
TCGA-B6-A0I1	0.68	1.9666
TCGA-A7-A26G	0.38	1.7666
TCGA-AR-A1AY	0.79	1.7333
TCGA-E2-A14X	0.37	0.9333
TCGA-GM-A3XL	0.6	2.9
TCGA-B6-A0RU	0.54	1.1666
TCGA-AC-A2BK	0.88	2.8666
TCGA-A2-A04X	0.58	1.0333
TCGA-BH-A0DT	0.48	0.6
TCGA-A2-A0D4	0.7	1.2666
TCGA-A1-A0SM	0.6	0.6333
TCGA-A8-A075	0.52	2.1
TCGA-BH-A0WA	0.58	2.0666
TCGA-BH-A0AV	0.55	2.2333
TCGA-A7-A13D	0.54	3.1
TCGA-EW-A1PB	0.36	4.8333
TCGA-A8-A08L	0.6	7.6333
TCGA-C8-A130	0.56	0.7
TCGA-AO-A03N	0.64	3.1
TCGA-AN-A0G0	0.65	1.5333
TCGA-BH-A0H0	0.76	0.9
TCGA-A8-A094	0.41	6.4333
TCGA-AQ-A04J	0.5	1.4666
TCGA-A2-A0D2	0.53	2.5666
TCGA-A7-A0CE	0.73	2.3
TCGA-GI-A2C9	0.66	4.1666
TCGA-AR-A24Z	0.83	1.6333
TCGA-B6-A0WX	0.34	1.1666
TCGA-E2-A152	0.53	2.7666
TCGA-C8-A12Q	0.51	3.3666
TCGA-AO-A0J4	0.5	2.0333
TCGA-BH-A0H6	0.76	0.7666
TCGA-AO-A124	0.81	5.2333
TCGA-E9-A1NH	0.55	0.8666
TCGA-A8-A07B	0.68	1.7666
TCGA-A2-A04T	0.63	1.9666
TCGA-AO-A12H	0.26	1.0666
TCGA-A2-A04Q	0.38	0.2666
TCGA-BH-A1FC	0.46	3.0333
TCGA-A2-A0YG	0.56	1.3
TCGA-AR-A0TX	0.42	8.0333
TCGA-A2-A04P	0.59	2.5
TCGA-AO-A0J2	0.66	1.8333
TCGA-AR-A256	0.76	6.4
TCGA-A2-A0EY	0.51	5.7333
TCGA-GM-A2DF	0.21	0.8
TCGA-EW-A3U0	0.26	4.7
TCGA-E2-A14P	0.32	1.5666
TCGA-AO-A0J6	0.67	2.6666
TCGA-A2-A25B	0.59	3.5
TCGA-A2-A0CM	0.4	1.8
TCGA-E2-A1LG	0.76	4.0666
TCGA-E2-A156	0.78	0.8333
TCGA-E2-A109	0.68	2.2666
TCGA-EW-A1PC	0.81	3.2333
TCGA-AN-A0XR	0.87	1.2333
TCGA-BH-A18R	0.53	0.7666
MAGIC_2020_184	0.53	0.4666
MAGIC_2020_047	0.55	0.8666
MAGIC_2020_118	0.38	0.5333
MAGIC_2020_030	0.51	1.8
MAGIC_2020_062	0.38	1.1333
MAGIC_2020_111	0.5	0.5333
MAGIC_2020_156	0.34	1.6
MAGIC_2020_141	0.58	0.4666
MAGIC_2020_131	0.62	0.5333
MAGIC_2020_049	0.54	2.0666
MAGIC_2020_107	0.55	0.5666
MAGIC_2020_149	0.61	0.8
MAGIC_2020_024	0.56	0.4666
MAGIC_2020_103	0.23	0.4666
MAGIC_2020_059	0.72	0.4666
MAGIC_2020_035	0.66	0.6666
MAGIC_2020_116	0.34	3.4333
MAGIC_2020_126	0.79	0.6333
MAGIC_2020_173	0.57	0.9
MAGIC_2020_146	0.72	0.6
MAGIC_2020_120	1	0.3666
MAGIC_2020_056	0.39	2.6666
MAGIC_2020_034	0.45	0.8666
MAGIC_2020_080	0.43	0.4666
MAGIC_2020_189	0.31	2.5
MAGIC_2020_003	0.48	1.5333
MAGIC_2020_057	0.32	2.2
MAGIC_2020_191	0.71	0.6333
MAGIC_2020_187	0.59	0.2666
MAGIC_2020_086	0.83	0.8666
MAGIC_2020_154	0.44	2.2
MAGIC_2020_159	0.84	0.9333
MAGIC_2020_012	0.3	1
MAGIC_2020_033	0.45	0.5
MAGIC_2020_081	0.63	0.8
MAGIC_2020_058	0.42	0.7
MAGIC_2020_089	0.63	2.0333
MAGIC_2020_143	0.26	0.4333
MAGIC_2020_072	1	0.1333
MAGIC_2020_094	1	0.2666
MAGIC_2020_068	0.38	0.8
MAGIC_2020_104	0.56	0.1
MAGIC_2020_018	0.61	3.3
MAGIC_2020_041	0.86	0.7666
MAGIC_2020_133	0.6	0.6333
MAGIC_2020_015	0.41	0.3333
MAGIC_2020_014	0.54	3.2333
MAGIC_2020_008	1	0.2
MAGIC_2020_022	0.62	1.3
MAGIC_2020_150	0.42	0.8333
MAGIC_2020_021	0.28	0.6666
MAGIC_2020_109	0.53	0.8
MAGIC_2020_061	0.59	1.3333
MAGIC_2020_113	0.62	1.9333
MAGIC_2020_168	0.62	1.2666
MAGIC_2020_127	1	0.2666
MAGIC_2020_039	0.81	0.5333
MAGIC_2020_142	0.3	0.7666
MAGIC_2020_108	1	0.3333
MAGIC_2020_013	1	0.5666
MAGIC_2020_193	0.56	1.8666
MAGIC_2020_169	0.63	0.5
MAGIC_2020_077	0.99	0.8333
MAGIC_2020_040	1	0.4666
MAGIC_2020_073	0.59	1.5666
MAGIC_2020_093	0.82	2.9
MAGIC_2020_170	0.41	0.5
MAGIC_2020_188	0.87	1.2
MAGIC_2020_192	0.33	0.9
MAGIC_2020_139	0.4	1.5666
MAGIC_2020_122	0.76	0.6
MAGIC_2020_060	0.58	0.6
MAGIC_2020_082	0.55	0.4666
MAGIC_2020_053	0.62	0.8
MAGIC_2020_132	0.5	0.5333
MAGIC_2020_135	1	0.1666
MAGIC_2020_064	0.63	0.5
MAGIC_2020_071	1	2.3666
MAGIC_2020_065	0.39	1.0333
MAGIC_2020_153	0.56	2.3
MAGIC_2020_087	0.29	0.9666
MAGIC_2020_037	0.7	1.2666
MAGIC_2020_183	0.62	0.5333
MAGIC_2020_090	0.28	0.6
MAGIC_2020_017	0.79	0.6333
MAGIC_2020_110	0.8	0.5
MAGIC_2020_023	0.61	0.6
MAGIC_2020_076	1	0.7666
MAGIC_2020_067	0.78	0.9
MAGIC_2020_002	0.46	0.0333
MAGIC_2020_200	0.38	1.2666
MAGIC_2020_027	0.49	0.5333
MAGIC_2020_096	0.63	0.8
MAGIC_2020_019	0.4	0.2
MAGIC_2020_063	0.33	0.5333
MAGIC_2020_055	0.69	1.3333
MAGIC_2020_186	1	0.6666
MAGIC_2020_007	0.43	0.7333
MAGIC_2020_078	1	0.3333
MAGIC_2020_079	0.36	0.4333
MAGIC_2020_182	0.89	0.9666
MAGIC_2020_075	0.62	2
MAGIC_2020_130	0.72	0.9666
MAGIC_2020_128	0.52	0.6666
MAGIC_2020_112	0.58	1
MAGIC_2020_045	0.57	0.6333
MAGIC_2020_032	0.71	1.6
MAGIC_2020_006	0.51	0.2
MAGIC_2020_105	0.59	3.7
MAGIC_2020_161	0.41	0.4
MAGIC_2020_136	0.73	0.5333
MAGIC_2020_029	1	0.1333
MAGIC_2020_044	0.45	0.6333
MAGIC_2020_083	0.33	0.5333
MAGIC_2020_028	0.45	0.9
MAGIC_2020_155	0.53	0.4666
MAGIC_2020_066	0.59	1.1333
MAGIC_2020_043	0.56	1.5666
MAGIC_2020_176	0.66	0.6333
MAGIC_2020_051	0.51	0.6
MAGIC_2020_102	0.65	0.7
MAGIC_2020_050	0.41	0.9333
MAGIC_2020_106	0.83	0.5
MAGIC_2020_148	0.72	0.8666
MAGIC_2020_009	0.55	0.4
MAGIC_2020_174	0.77	1.3333
MAGIC_2020_177	0.32	0.9666
MAGIC_2020_179	0.67	2.8
MAGIC_2020_042	0.63	0.9
MAGIC_2020_134	0.64	1.6333
MAGIC_2020_074	0.55	0.6333
MAGIC_2020_091	0.69	0.9666
MAGIC_2020_069	0.6	2.4
MAGIC_2020_005	0.43	0.5
MAGIC_2020_160	0.75	0.6333
MAGIC_2020_123	0.26	0.5333
GQ23P000004	0.39	3.5333
GQ22P000031	0.34	0.5
GQ21P000032	0.31	2.2666
GQ21P000023	0.51	0.5333
GQ21P000039	0.57	2.0333
GQ23P000007	0.53	1.5
GQ23P000002	0.42	1.3333
GQ22P000032	0.43	6.2
GQ22P000035	0.86	0.9333
GQ21P000029	0.31	1.4666
GQ21P000027	0.66	0.3666
GQ21P000022	0.33	1.2666
GQ21P000001	0.22	0.7666
GQ22P000036	0.3	1.3333
GQ20P000002	0.72	1.5666
GQ23P000003	0.59	1.9666
GQ20P000001	0.27	0.4
GQ21P000024	0.75	1.9
GQ22P000034	0.38	4.2
GQ20P000003	0.37	4.9
GQ21P000025	1	3.2
GQ21P000003	0.45	1.2666
GQ21P000038	0.47	0.4666
GQ21P000009	0.36	1.5333
GQ21P000031	0.26	3.5
GQ21P000028	0.2	0.9666
GQ21P000020	1	0.4
GQ21P000005	0.32	1.5666
GQ21P000006	0.27	1.9333
GQ23P000005	0.48	1.2666
GQ21P000026	0.52	1.6666
GQ21P000036	0.21	2.6333
GQ22P000030	0.48	5.8
GQ22P000033	0.5	2.2
GQ21P000004	0.55	5.7
GQ21P000021	0.42	2.2666
GQ21P000007	0.65	2.9333
GQ21P000037	0.39	2
GQ23P000006	0.25	2.0666
GQ21P000008	0.33	0.6666
GQ21P000002	0.34	1.3666
